state,epbc_status,community_count,state_total,percentage_of_state,percentage_of_all_occurrences
ACT,Critically Endangered,2,3,66.67,1.21
ACT,Endangered,1,3,33.33,0.61
ACT,Vulnerable,0,3,0,0
NSW,Critically Endangered,30,60,50,18.18
NSW,Endangered,29,60,48.33,17.58
NSW,Vulnerable,1,60,1.67,0.61
NT,Critically Endangered,0,2,0,0
NT,Endangered,2,2,100,1.21
NT,Vulnerable,0,2,0,0
QLD,Critically Endangered,7,22,31.82,4.24
QLD,Endangered,14,22,63.64,8.48
QLD,Vulnerable,1,22,4.55,0.61
SA,Critically Endangered,9,18,50,5.45
SA,Endangered,8,18,44.44,4.85
SA,Vulnerable,1,18,5.56,0.61
TAS,Critically Endangered,3,8,37.5,1.82
TAS,Endangered,3,8,37.5,1.82
TAS,Vulnerable,2,8,25,1.21
VIC,Critically Endangered,13,25,52,7.88
VIC,Endangered,11,25,44,6.67
VIC,Vulnerable,1,25,4,0.61
WA,Critically Endangered,5,27,18.52,3.03
WA,Endangered,21,27,77.78,12.73
WA,Vulnerable,1,27,3.7,0.61
