state,year,fire_type,forest_category,forest_tenure,cell_count,latitude,longitude
ACT,2016-17,Planned fire,Commercial plantation,MUF,256,-35.3,149.1
ACT,2016-17,Planned fire,Native forest,LEASE,1,-35.3,149.1
ACT,2016-17,Planned fire,Native forest,MUF,249,-35.3,149.1
ACT,2016-17,Planned fire,Native forest,NCR,25,-35.3,149.1
ACT,2016-17,Planned fire,Native forest,OCL,5,-35.3,149.1
ACT,2016-17,Planned fire,Other forest,MUF,1,-35.3,149.1
ACT,2016-17,Planned fire,Other forest,OCL,30,-35.3,149.1
ACT,2017-18,Planned fire,Commercial plantation,MUF,219,-35.3,149.1
ACT,2017-18,Planned fire,Commercial plantation,NCR,13,-35.3,149.1
ACT,2017-18,Planned fire,Native forest,LEASE,1,-35.3,149.1
ACT,2017-18,Planned fire,Native forest,MUF,7,-35.3,149.1
ACT,2017-18,Planned fire,Native forest,NCR,1002,-35.3,149.1
ACT,2017-18,Planned fire,Native forest,OCL,2,-35.3,149.1
ACT,2017-18,Planned fire,Other forest,MUF,13,-35.3,149.1
ACT,2017-18,Planned fire,Other forest,NCR,7,-35.3,149.1
ACT,2017-18,Unplanned fire,Native forest,NCR,87,-35.3,149.1
ACT,2017-18,Unplanned fire,Native forest,PRIV,1,-35.3,149.1
ACT,2018-19,Planned fire,Native forest,LEASE,1,-35.3,149.1
ACT,2018-19,Planned fire,Native forest,NCR,2163,-35.3,149.1
ACT,2018-19,Planned fire,Native forest,OCL,1,-35.3,149.1
ACT,2018-19,Unplanned fire,Commercial plantation,MUF,67,-35.3,149.1
ACT,2018-19,Unplanned fire,Commercial plantation,NCR,46,-35.3,149.1
ACT,2018-19,Unplanned fire,Native forest,LEASE,2,-35.3,149.1
ACT,2018-19,Unplanned fire,Native forest,NCR,39,-35.3,149.1
ACT,2018-19,Unplanned fire,Other forest,LEASE,11,-35.3,149.1
ACT,2018-19,Unplanned fire,Other forest,MUF,18,-35.3,149.1
ACT,2018-19,Unplanned fire,Other forest,NCR,36,-35.3,149.1
ACT,2019-20,Planned fire,Other forest,NCR,2,-35.3,149.1
ACT,2019-20,Unplanned fire,Commercial plantation,MUF,13,-35.3,149.1
ACT,2019-20,Unplanned fire,Commercial plantation,NCR,1,-35.3,149.1
ACT,2019-20,Unplanned fire,Native forest,LEASE,1879,-35.3,149.1
ACT,2019-20,Unplanned fire,Native forest,MUF,268,-35.3,149.1
ACT,2019-20,Unplanned fire,Native forest,NCR,80027,-35.3,149.1
ACT,2019-20,Unplanned fire,Native forest,OCL,3,-35.3,149.1
ACT,2019-20,Unplanned fire,Native forest,PRIV,11,-35.3,149.1
ACT,2019-20,Unplanned fire,Other forest,LEASE,12,-35.3,149.1
ACT,2019-20,Unplanned fire,Other forest,MUF,68,-35.3,149.1
ACT,2019-20,Unplanned fire,Other forest,NCR,37,-35.3,149.1
ACT,2019-20,Unplanned fire,Other forest,OCL,5,-35.3,149.1
ACT,2020-21,Planned fire,Native forest,MUF,53,-35.3,149.1
ACT,2020-21,Planned fire,Native forest,NCR,91,-35.3,149.1
NSW,2016-17,Planned fire,Commercial plantation,MUF,1328,-32.0,147.0
NSW,2016-17,Planned fire,Commercial plantation,PRIV,6,-32.0,147.0
NSW,2016-17,Planned fire,Native forest,MUF,134,-32.0,147.0
NSW,2016-17,Planned fire,Native forest,NCR,10024,-32.0,147.0
NSW,2016-17,Planned fire,Native forest,OCL,107,-32.0,147.0
NSW,2016-17,Planned fire,Native forest,PRIV,1355,-32.0,147.0
NSW,2016-17,Planned fire,Other forest,MUF,14,-32.0,147.0
NSW,2016-17,Planned fire,Other forest,PRIV,1,-32.0,147.0
NSW,2016-17,Unplanned fire,Commercial plantation,MUF,2126,-32.0,147.0
NSW,2016-17,Unplanned fire,Commercial plantation,OCL,2,-32.0,147.0
NSW,2016-17,Unplanned fire,Commercial plantation,PRIV,273,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,LEASE,689,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,MUF,31111,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,NCR,41909,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,ND,246,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,OCL,9169,-32.0,147.0
NSW,2016-17,Unplanned fire,Native forest,PRIV,82535,-32.0,147.0
NSW,2016-17,Unplanned fire,Other forest,MUF,8,-32.0,147.0
NSW,2016-17,Unplanned fire,Other forest,ND,3,-32.0,147.0
NSW,2016-17,Unplanned fire,Other forest,PRIV,179,-32.0,147.0
NSW,2017-18,Planned fire,Commercial plantation,MUF,971,-32.0,147.0
NSW,2017-18,Planned fire,Commercial plantation,NCR,1,-32.0,147.0
NSW,2017-18,Planned fire,Commercial plantation,OCL,15,-32.0,147.0
NSW,2017-18,Planned fire,Commercial plantation,PRIV,265,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,LEASE,299,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,MUF,29108,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,NCR,109046,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,ND,13,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,OCL,6997,-32.0,147.0
NSW,2017-18,Planned fire,Native forest,PRIV,92954,-32.0,147.0
NSW,2017-18,Planned fire,Other forest,MUF,85,-32.0,147.0
NSW,2017-18,Planned fire,Other forest,NCR,188,-32.0,147.0
NSW,2017-18,Planned fire,Other forest,PRIV,92,-32.0,147.0
NSW,2017-18,Unplanned fire,Commercial plantation,MUF,1268,-32.0,147.0
NSW,2017-18,Unplanned fire,Commercial plantation,NCR,2,-32.0,147.0
NSW,2017-18,Unplanned fire,Commercial plantation,PRIV,123,-32.0,147.0
NSW,2017-18,Unplanned fire,Native forest,LEASE,2,-32.0,147.0
NSW,2017-18,Unplanned fire,Native forest,MUF,5502,-32.0,147.0
NSW,2017-18,Unplanned fire,Native forest,NCR,11761,-32.0,147.0
NSW,2017-18,Unplanned fire,Native forest,OCL,560,-32.0,147.0
NSW,2017-18,Unplanned fire,Native forest,PRIV,2773,-32.0,147.0
NSW,2017-18,Unplanned fire,Other forest,MUF,37,-32.0,147.0
NSW,2017-18,Unplanned fire,Other forest,PRIV,9,-32.0,147.0
NSW,2018-19,Planned fire,Commercial plantation,MUF,27,-32.0,147.0
NSW,2018-19,Planned fire,Native forest,LEASE,10,-32.0,147.0
NSW,2018-19,Planned fire,Native forest,MUF,115,-32.0,147.0
NSW,2018-19,Planned fire,Native forest,NCR,1315,-32.0,147.0
NSW,2018-19,Planned fire,Native forest,OCL,137,-32.0,147.0
NSW,2018-19,Planned fire,Native forest,PRIV,1328,-32.0,147.0
NSW,2018-19,Unplanned fire,Commercial plantation,MUF,726,-32.0,147.0
NSW,2018-19,Unplanned fire,Commercial plantation,NCR,101,-32.0,147.0
NSW,2018-19,Unplanned fire,Commercial plantation,OCL,56,-32.0,147.0
NSW,2018-19,Unplanned fire,Commercial plantation,PRIV,184,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,LEASE,11616,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,MUF,30051,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,NCR,74454,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,ND,212,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,OCL,14050,-32.0,147.0
NSW,2018-19,Unplanned fire,Native forest,PRIV,98334,-32.0,147.0
NSW,2018-19,Unplanned fire,Other forest,MUF,4,-32.0,147.0
NSW,2018-19,Unplanned fire,Other forest,PRIV,142,-32.0,147.0
NSW,2019-20,Planned fire,Commercial plantation,MUF,731,-32.0,147.0
