species_name,chart_label,habitat_loss_metric,rank_in_original_chart,habitat_area,habitat_lost,habitat_lost_million,proportion_lost_percent,habitat_loss_percent_bin,threatened_status,status_code,status_severity_score,status_order_label,kingdom,class,family,matched_scientific_name,matched_common_name,profile_url,match_type,match_score
Plectranthus habrophyllus,Plectranthus habrophyllus,Top by percent habitat lost,1,16763.55529,1637.65876,0.00163765876,9.769161327,5-10%,Endangered,EN,3,3 Endangered,Plantae,Magnoliopsida,Lamiaceae,Plectranthus habrophyllus,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64589,exact,1.0
Southern black-throated finch,Southern Black-throated Finch,Top by total habitat lost,1,7003190.58,702048.3234,0.7020483234,10.02469254,10-15%,Endangered,EN,3,3 Endangered,Animalia,Aves,Passeridae,Poephila cincta cincta,Southern Black-throated Finch,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64447,exact,1.0
Chiddarcooping wattle,Chiddarcooping Wattle,Top by percent habitat lost,2,193670.5275,19149.33773,0.01914933773,9.887584846,5-10%,Endangered,EN,3,3 Endangered,Plantae,Magnoliopsida,Fabaceae,Acacia lobulata,Chiddarcooping Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567,exact,1.0
Koala,"Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",Top by total habitat lost,2,41986932.02,998278.2567,0.9982782567,2.377592762,2-5%,Endangered,EN,3,3 Endangered,Animalia,Mammalia,Phascolarctidae,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85104,contains,0.102
Southern black-throated finch,Southern Black-throated Finch,Top by percent habitat lost,3,7003190.58,702048.3234,0.7020483234,10.02469254,10-15%,Endangered,EN,3,3 Endangered,Animalia,Aves,Passeridae,Poephila cincta cincta,Southern Black-throated Finch,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64447,exact,1.0
Malleefowl,Malleefowl,Top by total habitat lost,3,111596359.6,1126228.804,1.126228804,1.009198515,0-2%,Vulnerable,VU,2,2 Vulnerable,Animalia,Aves,Megapodiidae,Leipoa ocellata,Malleefowl,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=934,exact,1.0
Pimelea leptospermoides,Pimelea leptospermoides,Top by percent habitat lost,4,88589.92729,9938.841856,0.009938841855999999,11.21892992,10-15%,Vulnerable,VU,2,2 Vulnerable,Plantae,Magnoliopsida,Thymelaeaceae,Pimelea leptospermoides,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20849,exact,1.0
Squatter pigeon,Squatter Pigeon (southern),Top by total habitat lost,4,27155663.35,1349925.345,1.349925345,4.971063779,2-5%,Vulnerable,VU,2,2 Vulnerable,Animalia,Aves,Columbidae,Geophaps scripta scripta,Squatter Pigeon (southern),http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64440,contains,0.769
Dwarf green kangaroo paw,Dwarf Green Kangaroo Paw,Top by percent habitat lost,5,230022.1643,27777.52802,0.02777752802,12.07602237,10-15%,Vulnerable,VU,2,2 Vulnerable,Plantae,Liliopsida,Haemodoraceae,Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3435,exact,1.0
Painted honeyeater,Painted Honeyeater,Top by total habitat lost,5,75080175.16,1444935.724,1.444935724,1.924523646,0-2%,Vulnerable,VU,2,2 Vulnerable,Animalia,Aves,Meliphagidae,Grantiella picta,Painted Honeyeater,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=470,exact,1.0
