WetlandName,SurvYear,WetlandArea,SurveyArea,PercentFilled,SumOfCount,SurveyRecords,SpeciesRichness,SumOfNests,SumOfBroods,LatitudeDec,LongitudeDec
Albury,2007,4036.8,4036.8,100.0,1518,17,17,150,5,-35.99556,146.0431
Barmah-Millewa,2007,959.2,464.08,48.38,2690,25,16,0,0,-35.958195,144.94665
"Coorong, Lower Lakes and Murray Mouth",2007,147083.9,145732.02,99.08,451481,205,44,7900,2,-35.817461,139.411771
Hattah Lakes,2007,738.1,478.58,64.84,32193,96,25,0,0,-34.739976,142.389617
Lindsay-Walpolla-Chowilla,2007,5662.6,917.78,16.21,12981,113,27,0,2,-34.207955,140.846186
Other,2007,53.9,5.39,10.0,27,5,4,0,0,-36.06,144.657
River Murray Channel,2007,863.2,178.34,20.66,5913,110,21,0,10,-35.295678,143.878056
Albury,2008,1166.8,1102.85,94.52,881,36,20,70,0,-36.031945,146.725875
Barmah-Millewa,2008,653.7,653.7,100.0,41,8,5,0,0,-35.93139,144.95415
"Coorong, Lower Lakes and Murray Mouth",2008,109521.7,117694.81,99.94,236420,271,39,0,0,-35.664703,139.111273
Echuca,2008,100.5,20.15,20.05,675,15,14,20,0,-36.048055,144.57095
Gunbower-Koondrook-Perricoota,2008,5.3,1.88,35.47,43,8,7,0,0,-35.812775,144.2957
Hattah Lakes,2008,357.4,151.44,42.37,2952,44,15,0,0,-34.739583,142.357667
Kerang wetlands,2008,1919.0,1863.61,97.11,852,35,20,80,0,-35.567722,144.51772
Lindsay-Walpolla-Chowilla,2008,1104.6,889.35,80.51,8327,190,30,0,79,-34.09526,141.133606
Mildura,2008,469.7,429.22,91.38,2622,25,15,0,0,-34.296749,142.1467
Murray Bridge,2008,4108.7,3546.98,86.33,15256,152,30,0,0,-34.811771,139.540206
Other,2008,2801.3,2253.39,80.44,767,30,19,0,0,-35.047739,149.214057
Renmark,2008,913.5,683.43,74.81,4188,64,21,0,7,-34.255328,140.622036
River Murray Channel,2008,372.8,270.98,72.69,3306,58,20,2,2,-34.758832,142.36765
Swan Hill,2008,9.0,6.5,72.22,3694,20,14,0,0,-35.306945,143.4625
Barmah-Millewa,2009,1496.5,850.82,56.85,3115,41,18,0,0,-35.892085,145.066975
"Coorong, Lower Lakes and Murray Mouth",2009,167544.9,118968.08,71.01,556158,316,42,1895,36,-35.702716,139.180289
Gunbower-Koondrook-Perricoota,2009,29.0,7.25,25.0,3,1,1,0,0,-35.70222,144.2197
Hattah Lakes,2009,123.0,101.05,82.15,495,23,10,0,1,-34.74604,142.36615
Lindsay-Walpolla-Chowilla,2009,3134.2,1380.2,44.04,25620,346,34,167,54,-34.13111,141.117741
Murray Bridge,2009,96.0,76.8,80.0,3392,11,11,0,0,-34.21611,139.85
Other,2009,4036.8,3834.96,95.0,375,10,10,250,0,-35.99556,146.0431
Renmark,2009,1744.9,1000.13,57.32,11537,74,23,0,22,-34.273222,140.55746
River Murray Channel,2009,778.0,172.2,22.13,88,17,8,0,0,-35.324556,143.31884
Banar Lake,2010,1283.0,1164.8,90.79,5717,46,20,1018,5,-33.26389,147.0675
Barmah-Millewa,2010,70971.0,35912.85,50.6,202,16,11,145,0,-35.907292,112.559727
Booligal wetlands,2010,1195.0,597.52,50.0,161453,143,27,105875,0,-33.91303,144.635791
"Coorong, Lower Lakes and Murray Mouth",2010,125982.5,134238.21,100.0,126600,258,38,6401,89,-35.352617,137.743371
Currawinya Lakes,2010,7944.0,7526.25,94.74,29846,125,36,5720,376,-28.707497,144.302467
Fivebough Swamp,2010,282.0,267.9,95.0,337,16,12,8,8,-34.55722,146.4306
Great Cumbung Swamp,2010,450.0,405.0,90.0,2118,34,21,6,0,-34.24861,144.0914
Gunbower-Koondrook-Perricoota,2010,92907.0,27914.1,30.05,126,15,14,0,1,-35.795835,144.355
Gwydir Wetlands,2010,1434.0,633.2,44.16,8331,178,29,10,3,-34.845556,149.4893
Hattah Lakes,2010,2791.0,2791.0,100.0,528,61,14,8,18,-34.739165,132.523089
Kerang wetlands,2010,4134.09,3658.8,88.5,116857,89,24,54225,27,-35.634259,143.917027
Lake Brewster,2010,6214.0,3506.6,56.43,12649,88,32,43,0,-33.466805,145.9993
Lake Buloke,2010,4354.0,3700.9,85.0,14686,38,21,2,3,-36.26778,142.9472
Lake Cargelligo,2010,1021.0,918.9,90.0,3094,19,12,0,2,-33.30305,146.4325
Lake Cowal,2010,14048.0,12643.2,90.0,41059,66,26,31543,35,-33.606805,147.4642
Lake Hindmarsh,2010,13501.0,9450.7,70.0,1728,33,23,6,0,-35.97805,141.905
Lake Tyrrell,2010,3710.0,1645.3,44.35,13,3,1,0,0,-35.334445,143.03875
